"state","puma","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
13,1105,0,79,9,27500,0,1,0,1,0,0,0,1,1,1,1,13121
13,1105,0,42,8,17000,0,1,0,1,0,1,0,1,1,0,1,13121
13,1105,1,76,12,7840,0,1,0,0,0,1,0,0,0,0,1,13121
13,1105,1,60,11,26130,0,0,0,0,0,0,0,0,0,0,1,13121
13,1106,1,39,9,15400,0,1,0,0,0,1,1,0,0,1,1,13121
13,1106,1,38,9,900,0,1,0,1,0,1,1,0,0,1,1,13121
13,1106,0,28,11,10000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1106,1,70,3,9600,0,1,0,0,0,1,0,1,0,0,1,13121
13,1106,1,23,11,32500,0,1,0,1,0,1,1,0,0,1,1,13121
13,1106,1,84,4,1000,0,1,0,0,0,1,0,1,0,0,1,13121
13,1106,0,41,9,26800,0,1,0,0,0,1,0,0,1,1,1,13121
13,1106,0,69,13,17130,0,1,0,1,0,1,0,0,1,0,1,13121
13,1107,1,27,9,61004,0,1,0,1,0,1,1,0,0,0,1,13121
13,1107,1,53,12,15000,0,0,0,1,0,1,0,0,1,1,1,13121
13,1107,1,28,1,15000,0,1,0,1,0,0,1,0,0,0,0,13121
13,1107,0,37,9,25000,0,1,0,0,0,1,0,1,0,0,1,13121
13,1107,1,32,11,30000,0,1,0,0,0,1,1,1,0,1,1,13121
13,1107,0,81,9,25970,0,0,0,1,0,1,0,1,1,0,1,13121
13,1107,1,31,3,0,1,0,0,1,0,0,0,1,0,0,0,13121
13,1107,0,77,7,34100,0,1,0,1,0,1,0,1,0,1,1,13121
